"Dose"	"Exposure"	"Response"
20	2.042	5.62
20	1.397	4.023
20	2.605	7.638
30	4.959	19.994
30	2.431	4.342
30	2.971	5.276
48	4.234	8.204
48	7.698	51.779
48	5.322	12.182
48	2.703	5.428
48	3.287	4.066
48	4.071	11.053
60	6.899	29.658
60	6.112	33.525
60	3.329	6.218
60	7.069	24.502
60	7.017	29.369
60	6.575	38.456
60	2.334	6.201
60	7.223	32.226
80	31.51	63.818
80	4.49	11.952
80	12.584	37.906
80	10.822	61.717
80	6.001	23.986
80	11.211	39.459
80	3.399	6.572
80	9.804	19.018
80	10.977	29.551
80	15.268	81.666
80	7.46	55.469
80	11.763	23.129
100	7.041	32.289
100	7.944	31.157
100	4.145	9.067
100	11.019	46.977
100	8.347	39.384
100	17.009	56.621
100	6.918	24.256
100	5.108	27.517
100	7.739	20.919
100	20.304	46.609
100	10.998	39.312
100	9.807	50.262
100	8.998	38.066
100	20.839	47.076
100	11.243	46.19
100	10.578	20.303
100	5.032	19.636
100	6.177	32.34
110	12.327	52.928
110	6.288	21.21
110	13.261	39.86
110	6.605	24.322
110	11.43	71.751
110	17.511	37.879
110	4.441	11.811
110	12.703	26.837
110	38.977	73.349
110	7.068	30.31
